    6.02E-02    5.88E+15    3.61E+05
    1.47E-01    7.87E+16    4.60E+05
    1.96E-01    1.28E+17    5.44E+05
    2.38E-01    1.50E+17    6.11E+05
    2.80E-01    3.56E+17    6.62E+05
    3.17E-01    3.05E+17    7.02E+05
    3.48E-01    3.95E+17    7.38E+05
    3.74E-01    4.20E+17    7.78E+05
    3.97E-01    4.24E+17    8.21E+05
    4.19E-01    4.31E+17    8.65E+05
    4.39E-01    4.80E+17    9.10E+05
    4.59E-01    4.85E+17    9.60E+05
    4.78E-01    5.60E+17    1.01E+06
    4.98E-01    6.61E+17    1.06E+06
    5.17E-01    5.57E+17    1.10E+06
    5.35E-01    5.77E+17    1.13E+06
    5.53E-01    4.94E+17    1.13E+06
    5.71E-01    5.64E+17    1.11E+06
    5.88E-01    5.73E+17    1.07E+06
    6.05E-01    5.54E+17    1.01E+06
    6.22E-01    6.04E+17    9.37E+05
    6.39E-01    5.69E+17    8.49E+05
    6.55E-01    4.89E+17    7.53E+05
    6.71E-01    5.36E+17    6.58E+05
    6.87E-01    4.48E+17    5.71E+05
    7.03E-01    4.24E+17    4.97E+05
    7.20E-01    4.96E+17    4.36E+05
    7.36E-01    5.18E+17    3.85E+05
    7.53E-01    4.37E+17    3.41E+05
    7.71E-01    4.07E+17    3.03E+05
    7.88E-01    4.50E+17    2.72E+05
    8.07E-01    3.61E+17    2.52E+05
    8.26E-01    3.84E+17    2.44E+05
    8.46E-01    3.54E+17    2.48E+05
    8.67E-01    2.65E+17    2.64E+05
    8.89E-01    2.96E+17    2.97E+05
    9.13E-01    2.49E+17    3.49E+05
    9.37E-01    2.19E+17    4.25E+05
    9.62E-01    1.85E+17    5.20E+05
    9.87E-01    8.73E+16    6.28E+05
